neighborhood_code,neighborhood_name,postal_code,postal_area,postal_code_m2,Total,Men,Women,population_density_km2,restaurant_count
101,København,1450,København K,5610,55,31,24,9803.921568627451,1
101,København,1451,København K,7133,72,26,46,10093.929622879574,0
101,København,1452,København K,20655,125,60,65,6051.8034374243525,2
101,København,1453,København K,5323,332,173,159,62370.84350929927,8
101,København,1454,København K,8905,155,70,85,17405.951712521055,6
101,København,1455,København K,10172,364,174,190,35784.50648839953,13
101,København,1456,København K,10646,127,62,65,11929.363141085854,2
101,København,1457,København K,20660,6,3,3,290.41626331074536,7
101,København,1458,København K,6994,69,31,38,9865.59908492994,3
101,København,1459,København K,3526,46,19,27,13045.944412932502,11
101,København,1460,København K,5828,63,32,31,10809.883321894304,4
101,København,1462,København K,1486,85,47,38,57200.53835800808,1
101,København,1463,København K,4258,26,15,11,6106.153123532175,1
101,København,1464,København K,3098,8,5,3,2582.3111684958035,0
101,København,1466,København K,6033,110,60,50,18233.05154980938,5
101,København,1467,København K,3270,69,32,37,21100.91743119266,5
101,København,1468,København K,13512,119,58,61,8806.986382474837,1
101,København,1470,København K,21269,76,9,67,3573.2756594104094,0
101,København,1471,København K,12112,40,20,20,3302.5099075297226,0
101,København,1472,København K,15630,65,31,34,4158.669225847729,0
101,København,1473,København K,7386,24,14,10,3249.390739236393,1
101,København,1500,København V,0,0,0,0,,0
101,København,1550,København V,45567,12,9,3,263.3484758706959,6
101,København,1551,København V,6405,0,0,0,0.0,1
101,København,1552,København V,26563,387,191,196,14569.137522117231,7
101,København,1553,København V,155000,418,210,208,2696.7741935483873,4
101,København,1554,København V,4253,0,0,0,0.0,5
101,København,1555,København V,7512,18,12,6,2396.1661341853037,2
101,København,1556,København V,10004,39,17,22,3898.4406237504995,0
101,København,1557,København V,5787,86,41,45,14860.895109728703,0
101,København,1558,København V,3378,60,30,30,17761.989342806395,0
101,København,1559,København V,81336,30,16,14,368.84036588964295,0
101,København,1560,København V,168000,5,5,0,29.76190476190476,28
101,København,1561,København V,263000,714,362,352,2714.828897338403,8
101,København,1562,København V,20639,31,13,18,1502.0107563350937,0
101,København,1563,København V,2264,17,9,8,7508.833922261484,0
101,København,1564,København V,10307,122,56,66,11836.615892112157,1
101,København,1568,København V,15207,65,33,32,4274.347340040771,1
101,København,1569,København V,4467,92,46,46,20595.477949406762,0
101,København,1570,København V,26945,0,0,0,0.0,4
101,København,1571,København V,13313,43,19,24,3229.9256365958086,0
101,København,1572,København V,6638,113,57,56,17023.199758963543,0
101,København,1573,København V,6905,357,185,172,51701.66545981173,1
