neighborhood_id,neighborhood_name,postal_code,postal_area,postal_code_m2,Total,Men,Women
101,København,1665,København V,43528,1260,626,634
101,København,1666,København V,41215,672,344,328
101,København,1667,København V,3899,165,73,92
101,København,1668,København V,12820,435,222,213
101,København,1669,København V,10131,737,358,379
101,København,1670,København V,33522,397,198,199
101,København,1671,København V,14226,540,248,292
101,København,1672,København V,3258,153,81,72
101,København,1673,København V,3430,144,65,79
101,København,1674,København V,87471,1251,589,662
101,København,1675,København V,3846,122,60,62
101,København,1676,København V,11248,353,184,169
101,København,1677,København V,7181,144,69,75
101,København,1700,København V,87959,582,297,285
101,København,1701,København V,3396,125,69,56
101,København,1702,København V,5194,147,68,79
101,København,1703,København V,3495,193,94,99
101,København,1704,København V,66489,117,65,52
101,København,1705,København V,137000,933,468,465
101,København,1706,København V,4524,139,76,63
101,København,1707,København V,5120,60,31,29
101,København,1708,København V,4361,200,99,101
101,København,1709,København V,32175,695,339,356
101,København,1710,København V,8809,22,12,10
101,København,1715,København V,19010,0,0,0
101,København,1717,København V,19725,241,118,123
101,København,1718,København V,12968,627,309,318
101,København,1719,København V,10705,598,274,324
101,København,1720,København V,131000,1975,963,1012
101,København,1721,København V,21694,895,432,463
101,København,1722,København V,7923,489,246,243
101,København,1723,København V,8849,105,50,55
101,København,1724,København V,10449,114,54,60
101,København,1725,København V,30729,344,169,175
101,København,1726,København V,25219,446,216,230
101,København,1727,København V,7394,352,156,196
101,København,1728,København V,4415,273,135,138
101,København,1729,København V,3699,213,110,103
101,København,1730,København V,1781,164,83,81
101,København,1731,København V,2912,92,46,46
101,København,1732,København V,1752,119,51,68
101,København,1733,København V,1068,108,59,49
101,København,1734,København V,4483,119,56,63
101,København,1735,København V,2723,213,110,103
101,København,1736,København V,2710,191,79,112
101,København,1737,København V,3560,242,122,120
101,København,1738,København V,4898,222,110,112
101,København,1739,København V,3251,88,47,41
101,København,1748,København V,-,0,0,0
101,København,1749,København V,9280,224,118,106
101,København,1750,København V,31491,820,408,412
101,København,1751,København V,6625,413,201,212
101,København,1752,København V,9665,331,166,165
101,København,1753,København V,12545,81,42,39
101,København,1754,København V,3631,581,273,308
101,København,1755,København V,1256,104,53,51
101,København,1756,København V,9633,424,200,224
101,København,1757,København V,16996,174,80,94
101,København,1758,København V,3123,321,165,156
101,København,1759,København V,3487,27,14,13
101,København,1760,København V,24500,678,326,352
101,København,1761,København V,10890,382,175,207
101,København,1762,København V,5731,401,178,223
101,København,1763,København V,10988,552,251,301
101,København,1764,København V,4391,269,146,123
101,København,1765,København V,15941,156,74,82
101,København,1766,København V,5377,46,21,25
101,København,1770,København V,9302,191,96,95
101,København,1771,København V,1949,50,21,29
101,København,1772,København V,1607,46,18,28
101,København,1773,København V,2003,58,32,26
101,København,1774,København V,17725,130,67,63
101,København,1775,København V,1314,47,27,20
101,København,1777,København V,8698,132,62,70
101,København,1799,København V,324000,4229,2117,2112
101,København,2100,København ø,9100000,91554,44085,47469
101,København,2150,Nordhavn,2917000,4006,2013,1993
101,København,2200,København N,3941000,77132,36780,40352
101,København,2300,København S,29400000,153669,75664,78005
101,København,2400,København NV,7000000,54410,27010,27400
101,København,2450,København SV,9100000,39490,20034,19456
101,København,2500,Valby,7600000,65522,32588,32934
101,København,2610,Rødovre,12300000,66,38,28
101,København,2700,Brønshøj,8200000,45950,22892,23058
101,København,2720,Vanløse,5200000,33160,16377,16783
101,København,2770,Kastrup,59600000,119,61,58
101,København,2860,Søborg,13200000,236,132,104
101,København,2900,Hellerup,6800000,3786,1771,2015
147,Frederiksberg,1800,Frederiksberg C,6192,717,362,355
147,Frederiksberg,1801,Frederiksberg C,14234,380,177,203
147,Frederiksberg,1802,Frederiksberg C,21785,231,115,116
147,Frederiksberg,1803,Frederiksberg C,3363,90,42,48
147,Frederiksberg,1804,Frederiksberg C,7673,264,120,144
147,Frederiksberg,1805,Frederiksberg C,1691,27,10,17
147,Frederiksberg,1806,Frederiksberg C,18456,189,86,103
147,Frederiksberg,1807,Frederiksberg C,10944,203,97,106
147,Frederiksberg,1808,Frederiksberg C,15613,117,57,60
147,Frederiksberg,1809,Frederiksberg C,11859,232,105,127
147,Frederiksberg,1810,Frederiksberg C,29238,771,379,392
147,Frederiksberg,1811,Frederiksberg C,16030,52,27,25
147,Frederiksberg,1812,Frederiksberg C,34500,465,215,250
147,Frederiksberg,1813,Frederiksberg C,24840,598,285,313
147,Frederiksberg,1814,Frederiksberg C,18822,448,222,226
147,Frederiksberg,1815,Frederiksberg C,11570,243,116,127
147,Frederiksberg,1816,Frederiksberg C,7196,153,73,80
147,Frederiksberg,1817,Frederiksberg C,4640,453,209,244
147,Frederiksberg,1818,Frederiksberg C,7853,140,73,67
